2-THETA;INTENSITY
18.33;8.50 
30.15;28.33 
35.51;100.00 
37.15;8.46 
43.16;19.98 
53.55;9.26 
57.08;24.58 
57.08;6.08 
62.69;39.98 
65.91;1.00 
71.12;3.27 
74.17;8.30 
75.17;3.89 
79.15;2.48 
86.96;3.54 
89.87;5.12 
89.87;8.02 
