2-THETA;INTENSITY
18.49;8.25 
30.42;28.27 
35.83;100.00 
37.48;8.46 
43.55;19.85 
54.05;9.19 
57.62;6.12 
57.62;24.07 
63.29;39.53 
71.83;3.25 
74.92;8.22 
75.93;3.85 
79.97;2.46 
87.90;3.51 
