2-THETA;INTENSITY
18.36;8.28 
30.21;28.25 
35.58;100.00 
37.22;8.44 
43.24;19.95 
53.65;9.24 
57.20;24.28 
57.20;6.14 
62.81;39.87 
71.27;3.27 
74.33;8.27 
75.33;3.86 
79.32;2.48 
87.16;3.52 
