2-THETA;INTENSITY
18.62;8.17
30.63;28.26
36.09;100.00
37.75;8.49
43.87;19.75
54.45;9.14
58.06;6.13
58.06;23.79
63.78;39.18
72.41;3.23
75.53;8.16
76.56;3.83
80.64;2.44
88.67;3.49
