2-THETA;INTENSITY
18.86;8.65
31.03;28.49
36.56;100.00
38.25;8.62
44.46;19.59
55.21;9.06
58.87;5.94
58.87;23.95
64.69;38.61
73.48;3.18
76.66;8.07
77.71;3.86
81.88;2.40
