2-THETA;INTENSITY
18.77;8.68 
30.88;28.49 
36.39;100.00 
38.07;8.60 
44.24;19.65 
54.93;9.09 
58.57;5.95 
58.57;24.11 
64.35;38.84 
73.08;3.19 
76.24;8.10 
77.28;3.87 
81.42;2.41 
89.57;3.51 
