2-THETA;INTENSITY
 17.76;13.54  
 21.21;100.00  
 26.29;11.70  
 33.18;44.47  
 34.61;24.21  
 35.43;5.16  
 35.97;15.45  
 36.59;68.36  
 39.03;2.99  
 39.90;8.70  
 40.10;3.35  
 41.10;16.28  
 43.19;1.29  
 44.96;3.55  
 47.16;6.57  
 50.54;10.67  
 51.38;2.54  
 53.15;35.43  
 54.12;9.56  
 55.18;3.70  
 57.30;7.49  
 58.87;23.88  
 61.14;10.43  
 61.39;4.70  
 62.82;3.51  
 63.25;4.73  
 63.79;10.00  
 65.48;6.03  
 67.01;4.33  
 67.72;1.15  
 68.38;4.57  
 68.88;5.50  
 69.11;2.14  
 69.65;2.16  
 71.29;2.09  
 71.36;7.35  
 73.02;3.02  
 74.86;1.89  
 74.96;1.04  
 76.34;2.61  
 79.76;3.40  
 83.80;2.61  
 84.54;2.97  
 85.96;1.13  
 86.06;3.65  
 86.06;1.02  
 86.36;1.02  
 86.92;1.53  
 89.19;1.26  
