2-THETA;INTENSITY
17.96;12.43 
21.67;100.00 
26.78;11.40 
33.71;44.26 
35.08;25.35 
36.03;5.20 
36.39;16.89 
37.21;71.89 
39.99;3.22 
40.54;9.06 
41.07;2.76 
41.71;16.02 
44.16;1.41 
45.65;4.35 
47.77;6.06 
51.61;10.22 
52.14;2.41 
54.23;36.17 
55.17;10.01 
55.86;3.57 
58.43;7.62 
59.74;24.04 
62.06;10.58 
62.52;4.29 
64.01;3.02 
64.63;10.78 
64.85;4.78 
66.55;6.06 
68.65;4.52 
68.82;1.11 
69.86;5.86 
70.07;3.96 
70.81;2.01 
70.89;2.04 
72.52;7.27 
73.02;1.87 
74.12;3.23 
76.43;1.11 
76.63;2.02 
77.58;2.52 
81.61;3.50 
85.00;2.46 
87.01;2.93 
87.73;3.88 
87.93;1.26 
87.93;1.00 
88.29;1.47 
