2-THETA;INTENSITY
17.90;12.44
21.37;100.00
26.50;10.48
33.44;38.97
34.85;20.61
35.67;4.92
36.25;13.25
36.84;59.89
39.35;2.41
40.18;8.35
40.43;3.05
41.43;13.46
45.29;3.20
47.50;4.70
50.93;7.30
51.77;1.86
53.56;23.11
54.56;6.72
55.63;2.14
57.76;4.14
59.34;13.98
61.56;6.15
61.90;2.76
63.33;1.87
63.79;2.40
64.30;5.80
65.96;3.13
67.59;2.18
68.96;2.33
69.47;2.64
71.90;3.19
73.58;1.25
76.94;1.15
80.47;1.28
85.34;1.01
86.79;1.28
