2-THETA;INTENSITY
17.83;11.74 
21.25;100.00 
26.37;10.88 
33.29;40.55 
34.74;23.11 
35.54;4.39 
36.12;14.35 
36.70;62.54 
39.11;3.23 
40.03;8.26 
40.18;2.87 
41.25;14.42 
45.12;3.40 
47.35;5.74 
50.67;10.44 
51.57;2.27 
53.29;32.88 
54.28;9.33 
55.42;3.30 
57.48;6.19 
59.11;22.67 
61.38;9.68 
61.60;4.48 
63.03;3.43 
63.39;4.01 
64.07;9.67 
65.73;5.91 
67.18;4.25 
67.98;1.05 
68.55;4.51 
69.18;5.10 
69.28;2.23 
69.91;1.88 
71.48;1.68 
71.64;6.71 
73.33;2.82 
75.07;1.97 
75.22;1.07 
76.65;2.30 
80.01;3.06 
84.21;2.31 
84.72;2.70 
86.25;1.07 
86.36;1.07 
86.40;3.56 
87.33;1.37 
89.59;1.22 
