2-THETA;INTENSITY
17.74;21.90 
21.11;100.00 
26.20;5.46 
33.09;78.78 
34.62;35.67 
35.38;2.61 
35.92;10.06 
36.54;85.28 
38.82;4.23 
39.85;17.23 
39.89;4.59 
41.01;15.50 
42.98;3.38 
44.90;6.54 
47.13;10.46 
50.37;2.26 
51.31;1.04 
52.98;51.49 
53.92;18.77 
55.10;5.78 
57.13;3.81 
58.79;27.05 
60.58;3.10 
61.18;12.84 
61.18;1.64 
62.64;6.65 
62.90;2.85 
63.73;11.19 
65.48;6.32 
66.66;5.72 
68.06;2.36 
68.75;6.92 
68.79;7.39 
69.44;4.33 
70.97;4.05 
71.34;12.12 
73.03;2.29 
74.85;1.54 
75.56;1.01 
76.31;2.41 
76.53;1.00 
79.43;1.80 
83.30;2.63 
83.70;3.67 
83.99;1.23 
85.61;5.41 
85.92;6.78 
86.89;2.38 
