2-THETA;INTENSITY
17.76;11.40 
21.17;100.00 
26.26;9.60 
33.15;42.12 
34.56;24.37 
35.36;4.28 
35.96;14.72 
36.52;65.83 
38.95;3.27 
39.83;9.33 
40.02;2.54 
41.07;14.41 
43.11;1.10 
44.90;4.23 
47.11;5.54 
50.44;9.56 
51.32;2.33 
53.04;35.56 
54.04;10.51 
55.16;3.05 
57.20;6.08 
58.81;22.79 
61.02;10.07 
61.32;4.11 
62.72;3.10 
63.11;4.15 
63.75;10.57 
65.35;6.05 
66.88;4.61 
68.22;3.98 
68.85;5.51 
68.95;2.43 
69.58;2.00 
71.13;1.82 
71.23;6.99 
72.91;2.93 
74.70;2.17 
74.80;1.11 
76.21;2.29 
79.60;3.03 
83.75;2.34 
84.32;2.68 
85.80;1.38 
85.89;3.99 
85.92;1.00 
86.80;1.27 
89.11;1.43 
