2-THETA;INTENSITY
24.17;28.62
33.19;100.00
35.67;74.06
39.32;2.06
40.90;17.93
43.55;1.94
49.51;37.97
54.13;45.58
57.51;2.37
57.66;8.73
62.50;31.49
64.07;30.15
69.67;3.16
72.03;11.20
72.36;1.75
75.54;7.28
77.83;1.34
77.83;1.34
78.87;1.01
80.68;1.64
80.80;4.45
83.05;5.90
85.04;9.13
88.67;8.32
