2-THETA;INTENSITY
24.22;28.10
33.26;100.00
35.74;73.65
39.42;2.04
40.99;17.79
43.64;1.96
49.62;37.47
54.25;44.86
57.63;2.36
57.80;8.63
62.64;30.98
64.21;29.72
69.84;3.16
72.22;10.94
72.55;1.70
75.71;2.38
78.02;1.30
78.02;1.30
81.01;4.42
83.27;5.78
85.24;3.00
88.89;2.70
