2-THETA;INTENSITY
24.17;28.45
33.19;100.00
35.66;74.23
39.32;2.13
40.90;17.84
43.55;2.00
49.51;38.12
54.12;46.15
57.50;2.45
57.66;8.74
62.49;31.94
64.06;30.61
69.67;3.22
72.03;11.48
72.36;1.74
75.52;7.52
77.82;1.42
77.82;1.42
78.85;1.02
80.66;1.68
80.80;4.57
83.05;6.14
85.02;9.51
88.65;8.64
