2-THETA;INTENSITY
24.28;29.74
33.36;100.00
35.82;74.47
39.55;2.10
41.09;18.07
43.74;1.95
49.75;37.43
54.41;45.25
57.77;2.34
57.99;8.30
62.80;30.39
64.36;29.26
70.06;2.90
72.47;10.72
72.79;1.71
75.90;2.29
78.24;1.26
78.24;1.26
81.26;4.04
83.56;5.52
85.48;2.81
89.16;2.62
