2-THETA;INTENSITY
24.27;36.50
33.33;100.00
35.81;67.94
39.49;2.00
41.07;21.72
43.74;2.64
49.73;26.20
54.36;38.02
57.76;2.08
57.91;3.65
62.78;16.12
64.36;17.76
69.99;1.01
72.37;5.13
72.70;1.00
81.20;1.05
83.46;2.11

