2-THETA;INTENSITY
23.31;7.60
29.75;100.00
31.84;2.39
36.37;13.78
39.86;18.73
43.65;13.49
47.67;6.19
48.12;18.26
49.10;18.54
57.22;2.88
58.07;8.24
61.40;5.23
61.78;2.39
62.18;2.34
63.83;1.64
65.43;5.87
66.54;3.13
71.19;1.80
73.85;2.61
78.26;1.89
82.67;1.84
84.88;1.23
