2-THETA;INTENSITY
23.08;12.85
29.32;100.00
31.15;1.12
36.10;15.64
39.47;16.22
43.29;15.81
47.17;7.78
47.18;19.28
48.41;23.27
56.77;1.93
57.59;10.68
57.62;2.06
60.80;7.14
60.81;3.34
61.08;1.76
63.14;1.04
64.92;6.37
64.96;3.18
69.91;2.73
72.81;3.89
76.63;2.99
81.29;3.12
84.04;1.42
