2-THETA;INTENSITY
23.33;7.31
29.79;100.00
31.90;2.55
36.39;13.59
39.89;19.51
43.68;13.83
47.71;6.21
48.20;18.57
49.16;19.23
57.26;3.05
58.11;8.65
61.45;5.35
61.87;2.43
62.28;2.52
63.88;1.76
65.48;6.21
66.68;3.30
70.15;1.09
71.31;1.94
73.94;2.71
78.41;1.95
82.79;2.03
84.95;1.33
