2-THETA;INTENSITY
23.07;13.25
29.34;100.00
36.07;16.27
39.46;15.03
43.26;16.00
47.15;8.02
47.26;18.98
48.43;23.21
56.73;1.71
57.55;10.94
57.73;2.27
60.77;7.36
60.86;3.47
61.15;1.47
64.86;6.13
65.11;2.96
69.99;2.77
72.82;4.03
76.75;3.16
81.34;3.21
83.98;1.39
