2-THETA;INTENSITY
23.04;8.37
29.20;100.00
30.92;1.77
36.09;14.26
39.41;14.70
43.25;12.07
46.89;17.12
47.08;5.88
48.24;16.04
56.75;2.06
57.55;6.81
60.56;2.15
60.71;4.39
60.76;1.56
63.02;1.11
64.43;2.47
64.89;4.12
69.54;1.39
72.56;2.05
76.13;1.59
80.93;1.29
