2-THETA;INTENSITY
23.06;8.48
29.31;100.00
31.16;1.88
36.07;14.27
39.45;16.18
43.25;12.92
47.13;6.08
47.18;17.88
48.39;17.44
56.72;2.46
57.54;7.67
60.75;4.79
60.79;2.29
61.07;1.91
63.10;1.37
64.86;4.89
64.97;2.82
69.90;1.63
72.77;2.32
76.62;1.76
81.26;1.60
